,seed,n_frames,min_lambda,min_loss,min_avg,gbar,lim_loss,lim_loss_num,lim_chi2,lim_dkl,dV
107,7,129,[-5.04860999],2.1957509517669678,[0.79110348],1.1223783132430247,2.893304553586354,2.8932996,0.9267967,4.8598022,0.6975486278533936
108,8,129,[-4.35242905],1.7004635334014893,[0.91655465],1.2690491893264242,2.687848703875575,2.6878438,0.5158852,4.8598022,0.9873802661895752
109,9,129,[-4.18240087],1.6289589405059814,[0.94715209],1.2611637053747173,2.6973746653481245,2.6973696,0.534937,4.8598022,1.0684106349945068
110,10,129,[-5.36521928],2.2210497856140137,[0.73404249],1.0350892884539284,3.043942666526257,3.0439377,1.228073,4.8598022,0.8228878974914551
111,11,129,[-4.56952811],1.8493304252624512,[0.87748544],1.2847557564952559,2.6693892324083737,2.6693842,0.47896627,4.8598022,0.8200538158416748
112,12,129,[-4.43644441],1.8072876930236816,[0.90141389],1.3060829451096032,2.645420988477397,2.645416,0.43102965,4.8598022,0.8381283283233643
113,13,129,[-4.66723218],1.7912137508392334,[0.85986868],1.2498235709560246,2.711376781718038,2.7113717,0.5629412,4.8598022,0.9201579093933105
114,14,129,[-4.0803417],1.726877212524414,[0.96551415],1.3697904090580937,2.581348388222532,2.5813434,0.3028844,4.8598022,0.8544661998748779
115,15,129,[-4.71527245],1.7464574575424194,[0.85123888],1.0876779284772524,2.9506538678390424,2.9505882,1.041496,4.85968,1.20413076877594
116,16,129,[-4.63877067],1.8016281127929688,[0.86502056],1.19789884153894,2.7800528318029727,2.7800477,0.70029324,4.8598022,0.9784195423126221
117,17,129,[-3.939907],1.676948070526123,[0.99081001],1.4517908934864234,2.515472536286764,2.5154674,0.17113265,4.8598022,0.8385193347930908
118,18,129,[-3.63030731],1.5853872299194336,[1.04656659],1.4918020788352482,2.4901094999271196,2.4901044,0.12040662,4.8598022,0.904717206954956
119,19,129,[-4.33037745],1.7543833255767822,[0.92046892],1.3604449473983078,2.590041804607694,2.5900369,0.32027137,4.8598022,0.83565354347229
120,20,129,[-4.43702411],1.8234508037567139,[0.90118399],1.2347821069568854,2.730500213302329,2.7304952,0.6011881,4.8598022,0.9070444107055664
121,21,129,[-5.31990487],2.067721128463745,[0.74241649],1.09160700073632,2.9439923710045246,2.9439874,1.0281724,4.8598022,0.8762662410736084
122,22,129,[-4.58007002],1.72098708152771,[0.87558605],1.2392630810169114,2.7247374640058766,2.7247324,0.5896626,4.8598022,1.0037453174591064
123,23,129,[-4.06972958],1.6887116432189941,[0.96741144],1.4086045082421215,2.54783860859308,2.5478334,0.23586486,4.8598022,0.8591217994689941
124,24,129,[-4.19933236],1.7964210510253906,[0.94410947],1.4008638988831568,2.5541873230022056,2.5541823,0.24856232,4.8598022,0.7577612400054932
125,25,129,[-4.14409515],1.687672734260559,[0.95402203],1.401095912830047,2.5539946095793122,2.5539896,0.24817696,4.8598022,0.8663169145584106
126,26,129,[-3.68545757],1.4772095680236816,[1.03654564],1.550484775593847,2.4609545387492004,2.4609494,0.062096704,4.8598022,0.9837398529052734
127,27,129,[-4.78846099],1.9633725881576538,[0.83797255],1.2412608153155054,2.7221862571322175,2.7221813,0.5845603,4.8598022,0.7588087320327759
128,28,129,[-4.37706644],1.758218765258789,[0.91212359],1.2619075155636785,2.6964687367913758,2.6964638,0.5331253,4.8598022,0.9382450580596924
129,29,129,[-3.72961372],1.5425434112548828,[1.02841794],1.4912605648822181,2.4904230796437394,2.490418,0.121033855,4.8598022,0.9478745460510254
130,30,129,[-4.19211327],1.625722885131836,[0.94540651],1.2714715778079717,2.6849570474952653,2.684952,0.5101017,4.8598022,1.0592291355133057
131,31,129,[-4.84559016],1.9664931297302246,[0.82777218],1.1737837566647689,2.8144944448889513,2.8144894,0.76917654,4.8598022,0.8479962348937988
132,32,129,[-4.09312204],1.7259981632232666,[0.96321128],1.3981465011203205,2.556455556050148,2.5564504,0.25309873,4.8598022,0.8304522037506104
133,33,129,[-5.30466522],2.078282117843628,[0.74514166],0.9706172331697354,3.168794008498853,2.9138927,1.4800072,4.3477783,0.8356106281280518
134,34,129,[-4.58167447],1.9413963556289673,[0.87528801],1.2870115949818726,2.6667942892355816,2.6667893,0.4737762,4.8598022,0.7253929376602173
135,35,129,[-4.64198867],1.744354009628296,[0.86443665],1.1171427825542244,2.9017430576372694,2.9015863,0.9436757,4.859497,1.1572322845458984
136,36,129,[-5.35809954],2.089902400970459,[0.73520788],1.049050215240808,3.0184278997892227,3.0184228,1.1770434,4.8598022,0.9285204410552979
137,37,129,[-4.75808636],1.955466389656067,[0.84348049],1.1319850779586473,2.8780186350442305,2.8780136,0.8962249,4.8598022,0.9225472211837769
138,38,129,[-4.56893991],1.7655632495880127,[0.87756368],1.2637693303175144,2.694207864919211,2.6942027,0.52860326,4.8598022,0.9286394119262695
139,39,129,[-5.1391796],1.9755127429962158,[0.77493624],1.0142886945067946,3.082961750071386,3.0829568,1.3061113,4.8598022,1.1074440479278564
140,40,129,[-4.6768294],1.821746826171875,[0.8580953],1.10149110717018,2.9274241116202484,2.5807064,0.99564135,4.1657715,0.7589595317840576
141,41,129,[-5.4610723],2.143418312072754,[0.71699969],0.9861767017315507,3.1376057871125687,3.1374795,1.4154011,4.859558,0.9940612316131592
142,42,129,[-5.45958072],2.291752338409424,[0.71727532],1.0708238004352306,2.979715493984678,2.9797106,1.0996187,4.8598022,0.6879582405090332
143,43,129,[-4.73718588],1.9584777355194092,[0.84725757],1.18303980450582,2.8010837629105314,2.8010788,0.7423552,4.8598022,0.8426010608673096
144,44,129,[-4.87225113],1.8475697040557861,[0.82299241],1.10568972965644,2.9204682819528296,2.920463,0.9811241,4.8598022,1.0728933811187744
145,45,129,[-3.93606577],1.7089875936508179,[0.99149688],1.4211698429713888,2.5378871139427805,2.537882,0.21596183,4.8598022,0.8288944959640503
146,46,129,[-5.18837614],2.0591588020324707,[0.76594032],1.073705208383612,2.9746911549666897,2.9746861,1.0895699,4.8598022,0.91552734375
147,47,129,[-4.92059778],1.9463746547698975,[0.81427783],1.1549262272046308,2.842552615777194,2.8425477,0.825293,4.8598022,0.8961730003356934
148,48,129,[-4.0494087],1.571875810623169,[0.97105131],1.3248265902693415,2.6253993790821255,2.6253943,0.39098644,4.8598022,1.053518533706665
149,49,129,[-4.66390989],1.7674038410186768,[0.86047338],1.2193529156348133,2.75076956288744,2.7507644,0.6417267,4.8598022,0.9833605289459229
150,0,464,[-4.17419212],1.7357778549194336,[0.94864399],1.5330183695244484,3.10866847738573,3.1086726,0.07745246,6.1398926,1.3728947639465332
151,1,464,[-4.09435965],1.7958641052246094,[0.9630215],1.5500211494572922,3.1011834644605054,3.1011875,0.062482394,6.1398926,1.3053233623504639
152,2,464,[-3.98968686],1.6834275722503662,[0.98184929],1.528171224288286,3.1109493985611647,3.1109533,0.08201432,6.1398926,1.4275257587432861
153,3,464,[-3.89713712],1.635916829109192,[0.99851485],1.6614997583224413,3.0720009825148367,3.072005,0.004117427,6.1398926,1.43608820438385
154,4,464,[-4.38107917],1.7618701457977295,[0.91140559],1.4021659706018352,3.1931438164847203,3.193148,0.24640308,6.1398926,1.4312777519226074
155,5,464,[-4.46890066],1.8234004974365234,[0.89559759],1.3868158336846836,3.206170501155655,3.2061746,0.2724566,6.1398926,1.3827741146087646
156,6,464,[-4.01879252],1.6823866367340088,[0.97658531],1.566978505251244,3.094518273425896,3.0945222,0.049152065,6.1398926,1.4121356010437012
157,7,464,[-4.90673411],2.0507686138153076,[0.81678493],1.2684647850659438,3.328584834068936,3.328589,0.51728517,6.1398926,1.277820348739624
158,8,464,[-4.00326871],1.6475830078125,[0.97941005],1.6169509498885317,3.079521643785929,3.0795257,0.01915874,6.1398926,1.4319427013397217
159,9,464,[-4.45723916],1.7748711109161377,[0.89769186],1.3526594942374617,3.2375053690900386,3.2375095,0.33512628,6.1398926,1.4626383781433105
160,10,464,[-4.62095418],1.9188177585601807,[0.86778123],1.2743854880279035,3.3215363216704135,3.297525,0.5033749,6.091675,1.3787071704864502
161,11,464,[-3.61270842],1.5955097675323486,[1.04971302],1.8117838441840024,3.087297314752785,3.0873013,0.034710016,6.1398926,1.4917914867401123
162,12,464,[-4.51944053],1.8257224559783936,[0.88643186],1.364842142047608,3.225957261873177,3.2259612,0.31203,6.1398926,1.4002387523651123
163,13,464,[-4.21534754],1.699130892753601,[0.94113501],1.4605697538289466,3.1495628910874767,3.149567,0.1592413,6.1398926,1.450435996055603
164,14,464,[-4.29036737],1.7134075164794922,[0.92763679],1.3697904090580937,3.2213844621548238,3.221358,0.3028846,6.1398315,1.5079505443572998
165,15,464,[-4.66192375],1.804579257965088,[0.86083431],1.3176102880215477,3.2730282369839108,3.2730322,0.40617204,6.1398926,1.4684529304504395
166,16,464,[-3.98226516],1.7054234743118286,[0.98315029],1.6137663575834422,3.080270388730387,3.0802743,0.020656269,6.1398926,1.374850869178772
167,17,464,[-3.73429139],1.6396182775497437,[1.02781673],1.727319188073138,3.0709788567200382,3.070983,0.002073162,6.1398926,1.43136465549469
168,18,464,[-3.7028134],1.5316450595855713,[1.03348634],1.5127128253308741,3.118659617495827,3.118481,0.09743533,6.1395264,1.5868358612060547
169,19,464,[-4.30057858],1.7914061546325684,[0.92589305],1.440774508524944,3.1632726308776893,3.1632767,0.18666068,6.1398926,1.371870517730713
170,20,464,[-4.16392754],1.7613105773925781,[0.95047503],1.4363263206432229,3.166503122204156,3.1665072,0.19312182,6.1398926,1.4051966667175293
171,21,464,[-5.06516511],2.015645980834961,[0.78825045],1.1629927113430696,3.4704656484334997,3.4705,0.80104643,6.1399536,1.4548540115356445
172,22,464,[-4.33990766],1.711055040359497,[0.91881417],1.3832747926376432,3.209268466361361,3.2092726,0.27865246,6.1398926,1.4982175827026367
173,23,464,[-3.9758326],1.663112759590149,[0.98428058],1.6042960680163658,3.0826634463869165,3.0826674,0.025442353,6.1398926,1.419554591178894
174,24,464,[-4.39606603],1.7993240356445312,[0.90862145],1.4008638988831568,3.1942233969344973,3.1942275,0.24856232,6.1398926,1.3949034214019775
175,25,464,[-3.80253856],1.595010757446289,[1.01550151],1.6850115909159316,3.0702542933448935,3.0702584,0.00062403554,6.1398926,1.4752476215362549
176,26,464,[-4.12078952],1.6668846607208252,[0.95824663],1.550484775593847,3.100990612681492,3.1009946,0.062096704,6.1398926,1.4341099262237549
177,27,464,[-4.42452053],1.7576688528060913,[0.90358093],1.3569966013068901,3.233346903217328,3.233351,0.32680923,6.1398926,1.4756821393966675
178,28,464,[-3.54780725],1.5906517505645752,[1.06135674],1.832610299839932,3.0943665700348455,3.0943706,0.04884851,6.1398926,1.5037188529968262
179,29,464,[-4.03441665],1.6539345979690552,[0.97379631],1.4912605648822181,3.130459153576031,3.1304631,0.121033855,6.1398926,1.476528525352478
180,30,464,[-3.96865334],1.6339035034179688,[0.98563874],1.6021775652925114,3.0832328715743786,3.083237,0.026581185,6.1398926,1.4493334293365479
181,31,464,[-3.83616072],1.6713171005249023,[1.009487],1.7715188524271135,3.0770463681304765,3.0770504,0.014208153,6.1398926,1.405733346939087
182,32,464,[-3.7776891],1.560254693031311,[1.0200017],1.635145884795016,3.075784020917324,3.075788,0.011683499,6.1398926,1.5155333280563354
183,33,464,[-4.37803568],1.7907898426055908,[0.91188062],1.5109361752675032,3.119588289755461,3.1195924,0.099292114,6.1398926,1.3288025856018066
184,34,464,[-4.47486539],1.8951945304870605,[0.89452363],1.4139658373550035,3.1835749736131613,3.183579,0.22726549,6.1398926,1.2883844375610352
185,35,464,[-3.87945065],1.6176261901855469,[1.00169758],1.6378708423214374,3.0753034319934716,3.0753074,0.010722346,6.1398926,1.4576811790466309
186,36,464,[-4.46272265],1.889756202697754,[0.89671221],1.5199071974005058,3.114988689374434,3.1149926,0.09009284,6.1398926,1.225236415863037
